catname,MJD,mag,magerr,cali,calierr,filter,stdstars,magnitude
SN2025FVW_B_001_250328_c.acat,60762.81577,-8.023215294,0.0211928114295005,24.66339329147339,0.0898805865191927,B,18,16.640178
SN2025FVW_V_001_250328_c.acat,60762.81935,-8.861301422,0.0139386411756277,24.821468887329104,0.2146038172109066,V,19,15.96016747
SN2025FVW_g_001_250328_c.acat,60762.82308,-9.211899757,0.0115232598036527,25.33320025367737,0.0663345025244528,g,48,16.1213005
SN2025FVW_r_001_250328_c.acat,60762.82667,-9.745758057,0.0089927315711975,25.7188513458252,0.0554583539951903,r,61,15.97309329
SN2025FVW_i_001_250328_c.acat,60762.83024,-8.463411331,0.0184770692139863,25.09109142303467,0.0610034962473554,i,76,16.62768009
SN2025FVW_B_001_250329_c.acat,60763.73118,-9.227863312,0.0110148573294281,25.3964998626709,0.0801024526029056,B,19,16.16863655
SN2025FVW_V_001_250329_c.acat,60763.73475,-9.752653122,0.0086436904966831,25.312376106262207,0.0894647220328582,V,19,15.55972298
SN2025FVW_g_001_250329_c.acat,60763.73849,-9.457029343,0.0100648570805788,25.10474067115784,0.0616925124165394,g,50,15.64771133
SN2025FVW_r_001_250329_c.acat,60763.74207,-9.905474663,0.0081008626148104,25.424598122406007,0.0658775154340826,r,65,15.51912346
SN2025FVW_i_001_250329_c.acat,60763.74565,-9.010538101,0.012624692171812,25.13816456604004,0.094436806937306,i,79,16.12762646
SN2025FVW_B_001_250414_c.acat,60779.27536,-9.091179848,0.0139715457335114,23.423502082824704,0.0653818392278782,B,13,14.33232224
SN2025FVW_V_001_250414_c.acat,60779.27685,-9.911968231,0.0090079680085182,23.81080921936035,0.0615206152726952,V,17,13.89884099
SN2025FVW_g_001_250414_c.acat,60779.2785,-10.01019192,0.008886526338756,23.943331943511964,0.1332202309587151,g,18,13.93314003
SN2025FVW_r_001_250414_c.acat,60779.28,-10.16291523,0.0084154764190316,24.065729933166505,0.1815225099518362,r,29,13.9028147
SN2025FVW_i_001_250414_c.acat,60779.28149,-9.230395317,0.0141573101282119,23.68300296020508,0.0567110347648628,i,31,14.45260764
SN2025FVW_B_001_250422_c.acat,60787.31685,-8.97968483,0.0126733845099806,24.19213108444214,0.0715853278275782,B,16,15.21244625
SN2025FVW_V_001_250422_c.acat,60787.32042,-10.16921329,0.0070906579494476,24.546963016510013,0.0803082008579093,V,16,14.37774972
SN2025FVW_g_001_250422_c.acat,60787.32415,-10.0826807,0.0074436250142753,24.751578479003907,0.0389084982914451,g,43,14.66889778
SN2025FVW_r_001_250422_c.acat,60787.32774,-10.45475674,0.0062644388526678,24.87863360671997,0.0399507494867958,r,63,14.42387687
SN2025FVW_i_001_250422_c.acat,60787.33132,-9.263590813,0.0115714278072118,24.13652653656006,0.0405788024505446,i,57,14.87293572
SN2025FVW_B_001_250425_c.acat,60790.27719,-9.728453636,0.0086098769679665,25.211853454589843,0.0713254813359293,B,16,15.48339982
SN2025FVW_V_001_250425_c.acat,60790.28077,-10.80573845,0.0051636737771332,25.34294641494751,0.0749777094384632,V,16,14.53720797
SN2025FVW_g_001_250425_c.acat,60790.28451,-10.08451843,0.0073349582962691,25.058941819763184,0.090730277323554,g,47,14.97442339
SN2025FVW_r_001_250425_c.acat,60790.28809,-10.77456951,0.0052964375354349,25.230087620925904,0.0764934812265969,r,64,14.45551811
SN2025FVW_i_001_250425_c.acat,60790.29167,-10.03499317,0.0076555353589355,24.800067716217043,0.0815695875188726,i,76,14.76507454
SN2025FVW_B_001_250428_c.acat,60793.75424,-8.312222481,0.01765911839902401,24.18171164703369,0.06962227311584031,B,17,15.86948917
SN2025FVW_V_001_250428_c.acat,60793.75715,-9.6567173,0.0090356413275003,24.418636199951173,0.0578735410897306,V,17,14.7619189
SN2025FVW_g_001_250428_c.acat,60793.76019,-9.07916832,0.0121758207678794,24.389688215637207,0.0466262784860936,g,46,15.3105199
SN2025FVW_r_001_250428_c.acat,60793.76308,-9.955765724,0.0078971032053232,24.501316413879398,0.0554040378641382,r,57,14.54555069
SN2025FVW_i_001_250428_c.acat,60793.76596,-9.415093422,0.0103613501414656,24.13305240020752,0.0546810017192387,i,59,14.71795898
